artist,track,album,album_type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,stream,duration_min,is_feat
Tiziano Ferro,r()t()nda (feat. Tiziano Ferro),c@ra++ere s?ec!@le,album,0.513,0.781,7,-5.564,0.204,0.483,0.0,0.347,0.682,78.748,18523405,2.659866666666667,1
Tiziano Ferro,Il Regalo Più Grande,Alla Mia Età,album,0.401,0.669,10,-4.69,0.0449,0.576,0.0,0.1,0.31,142.095,42176418,3.81,0
Tiziano Ferro,El Regalo Mas Grande,El Regalo Mas Grande,single,0.384,0.668,10,-5.189,0.0509,0.488,0.0,0.105,0.343,142.802,21569425,3.86745,0
Tiziano Ferro,Indietro,Alla Mia Età,album,0.569,0.723,9,-3.825,0.035,0.102,0.0,0.349,0.359,90.108,21265524,3.6668833333333333,0
Tiziano Ferro,La Vita Splendida,Il Mondo È Nostro,album,0.556,0.458,2,-5.78,0.0315,0.871,0.0,0.118,0.182,76.027,4310275,4.0218,0
Tiziano Ferro,La Differenza Tra Me E Te,L'amore è una cosa semplice (Special Edition),album,0.528,0.803,7,-3.941,0.0402,0.0613,0.0,0.158,0.273,111.887,20209098,3.8711166666666665,0
Nando Reis,All Star - Ao Vivo,"Nando Reis - Voz e Violão - No Recreio, Vol. 1 (Ao Vivo)",album,0.512,0.391,9,-10.4,0.0492,0.889,2.63e-06,0.714,0.277,138.094,87962981,3.89355,0
Nando Reis,De Janeiro a Janeiro,Varrendo a Lua (Deluxe Edition),album,0.483,0.386,9,-10.062,0.0285,0.736,0.0,0.115,0.483,80.074,111396980,3.1826666666666665,0
Nando Reis,N,N,single,0.517,0.479,0,-8.201,0.028,0.718,0.0,0.115,0.546,149.182,50050041,3.5744,0
Nando Reis,Sim,Sim,single,0.581,0.402,2,-10.39,0.0277,0.39,5.59e-06,0.107,0.19,74.988,5936390,3.8311333333333333,0
Nando Reis,Onde Você Mora?,Onde Você Mora?,single,0.577,0.468,6,-10.576,0.0284,0.165,1.19e-06,0.149,0.352,172.032,17621244,3.96905,0
Nando Reis,N,Sim E Não,album,0.62,0.638,2,-6.928,0.0283,0.503,0.0,0.261,0.603,76.022,11294314,3.5646666666666667,0
Fernandinho,Grandes Coisas - Ao Vivo,Uma Nova História (ao Vivo),album,0.45,0.494,1,-6.311,0.0287,0.252,0.0,0.666,0.158,146.947,56801078,4.961333333333333,0
Fernandinho,Galileu - Ao Vivo,Galileu (ao Vivo),album,0.54,0.833,6,-4.432,0.0453,0.0363,0.0,0.952,0.151,115.983,49737033,5.42,0
Fernandinho,Uma Nova História - Acústico,Acústico,album,0.527,0.791,6,-4.195,0.0278,0.00731,0.0,0.252,0.506,147.043,26278595,4.633333333333334,0
Fernandinho,Yeshua,Yeshua,single,0.407,0.456,9,-9.351,0.0283,0.194,3.88e-05,0.107,0.168,137.867,38547032,5.7224,0
Fernandinho,Pra Sempre - Acústico,Acústico,album,0.42,0.685,0,-4.763,0.0304,0.13,0.0,0.0634,0.15,145.874,23374935,5.532,0
Fernandinho,Ainda Que a Figueira - Ao Vivo,Uma Nova História (ao Vivo),album,0.445,0.733,9,-4.97,0.0291,0.149,0.0,0.596,0.482,93.978,12965193,4.378,0
Ana Bárbara,El Ultimo Adiós - Varios Artistas Version,El Ultimo Adiós,single,0.276,0.572,1,-7.818,0.0377,0.641,0.0,0.2,0.285,77.986,169769959,3.9577833333333334,0
Ana Bárbara,Bandido,Te Atraparé Bandido,album,0.802,0.849,8,-5.351,0.081,0.16,0.0,0.105,0.945,96.035,87715420,2.9962166666666668,0
Ana Bárbara,Lo Busqué,Loca De Amar,album,0.79,0.435,7,-7.921,0.0347,0.697,0.0,0.0723,0.703,124.036,115362521,4.598216666666667,0
Ana Bárbara,Loca,Loca De Amar,album,0.85,0.679,4,-5.023,0.0742,0.342,0.0,0.299,0.885,99.976,19579597,3.09645,0
Ana Bárbara,Color Esperanza / Sólo le Pido a Dios - Versión México,Color Esperanza / Sólo le Pido a Dios (Versión México),single,0.586,0.885,7,-5.241,0.0758,0.173,0.0,0.082,0.624,95.989,9149565,3.7317833333333335,0
Ana Bárbara,La Trampa,Lo Más Escuchado De,album,0.725,0.843,6,-4.576,0.0382,0.335,6.39e-05,0.0691,0.794,91.674,15123189,3.216666666666667,0
Ana Bárbara,Solos,Lo Más Escuchado De,album,0.618,0.595,0,-4.863,0.0299,0.694,0.0,0.147,0.553,83.014,38223652,3.10155,0
Ana Bárbara,Como Me Haces Falta,Los Besos No Se Dan En La Camisa,album,0.605,0.636,7,-5.982,0.03,0.311,0.0,0.0569,0.326,96.108,19859286,4.354883333333333,0
Ana Bárbara,Quise Olvidar,Lo Más Escuchado De,album,0.829,0.643,6,-5.888,0.032,0.228,1.74e-06,0.0657,0.576,109.949,8156312,3.306,0
Ana Bárbara,Que Poca,Las Que Más Amo,album,0.873,0.756,0,-3.729,0.0371,0.387,0.0,0.0573,0.96,127.995,42516331,3.15515,0
Yoko Ono,Instant Karma! (We All Shine On) - Ultimate Mix,GIMME SOME TRUTH. (Deluxe),album,0.621,0.948,9,-6.416,0.102,0.00465,0.000568,0.393,0.495,119.86,7491076,3.37,0
Yoko Ono,Happy Xmas (War Is Over) - Ultimate Mix,Imagine (The Ultimate Collection),album,0.353,0.671,2,-7.303,0.0286,0.112,0.0,0.919,0.457,145.617,3881052,3.5951166666666667,0
Yoko Ono,Give Peace A Chance - Ultimate Mix,Plastic Ono Band (The Ultimate Collection),album,0.468,0.913,1,-9.395,0.119,0.573,0.0,0.697,0.311,84.307,1576061,4.905783333333333,0
Yoko Ono,Give Peace A Chance - Ultimate Mix,GIMME SOME TRUTH. (Deluxe),album,0.492,0.894,1,-9.042,0.0876,0.543,0.0,0.689,0.376,84.899,1616834,4.894666666666667,0
Yoko Ono,The Luck Of The Irish - Remastered 2010,Sometime In New York City,album,0.449,0.468,7,-10.201,0.0272,0.386,0.0,0.146,0.637,143.181,916478,2.9946,0
Yoko Ono,Kiss Kiss Kiss - Remastered 2010,Double Fantasy,album,0.756,0.805,0,-8.586,0.149,0.171,0.00749,0.518,0.946,139.44,1472485,2.6997833333333334,0
Yoko Ono,Nobody Sees Me Like You Do,"Yes, I'm A Witch",album,0.388,0.546,4,-6.704,0.0268,0.116,0.557,0.124,0.124,79.447,1576039,3.9422166666666665,0
Diego Verdaguer,Volveré,Diego En Los 70,album,0.5,0.417,7,-11.239,0.0325,0.871,1.71e-05,0.232,0.455,120.067,98724823,4.03755,0
Diego Verdaguer,Voy A Conquistarte,Mexicano Hasta Las Pampas,album,0.838,0.359,9,-7.719,0.0453,0.585,1.13e-05,0.0564,0.679,96.948,52835982,2.902616666666667,0
