,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream
15966,Travis Scott,Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,album,0.571,0.549,1.0,-7.38,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,46615880.0
15967,Travis Scott,Goosebumps - Remix,Goosebumps (Remix),single,0.841,0.593,1.0,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917,162803.0,603446629.0
15968,KAROL G,CAIRO,CAIRO,single,0.951,0.692,5.0,-4.038,0.312,0.472,0.000182,0.0894,0.431,115.047,201280.0,109612034.0
15969,KAROL G,PROVENZA,PROVENZA,single,0.87,0.516,1.0,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,210200.0,664245812.0
15970,KAROL G,GATÚBELA,GATÚBELA,single,0.627,0.858,11.0,-2.824,0.386,0.263,0.0,0.21,0.342,92.523,209160.0,207298787.0
15971,KAROL G,Don't Be Shy,Don't Be Shy,single,0.77,0.787,11.0,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,140500.0,481307838.0
15972,KAROL G,MAMIII,ESQUEMAS,album,0.836,0.703,4.0,-3.554,0.0657,0.0845,0.0,0.138,0.902,94.048,226093.0,584524256.0
15973,KAROL G,Tusa,KG0516,album,0.799,0.701,2.0,-3.272,0.282,0.309,7.36e-05,0.0514,0.607,100.946,201920.0,1311745832.0
15974,KAROL G,EL MAKINON,KG0516,album,0.635,0.706,5.0,-3.224,0.125,0.256,0.0,0.108,0.443,88.863,209160.0,440733262.0
15975,KAROL G,SEJODIOTO,SEJODIOTO,single,0.822,0.736,1.0,-3.969,0.15,0.157,0.000781,0.0748,0.679,175.93,181107.0,247802106.0
15976,KAROL G,200 COPAS,KG0516,album,0.515,0.704,9.0,-5.25,0.206,0.767,0.0,0.415,0.885,91.246,217213.0,218681386.0
15977,KAROL G,China,Emmanuel,album,0.786,0.808,7.0,-3.702,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714.0,1037191705.0
15978,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,album,0.715,0.62,1.0,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,221520.0,279832635.0
15979,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],HEROES & VILLAINS,album,0.526,0.606,5.0,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,139674263.0
15980,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,album,0.671,0.658,2.0,-5.567,0.309,0.189,8.66e-05,0.147,0.257,87.933,207307.0,81603704.0
15981,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,album,0.684,0.671,7.0,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,79908630.0
15982,Metro Boomin,Glock In My Lap,SAVAGE MODE II,album,0.847,0.733,10.0,-6.439,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591.0,182739405.0
15983,Metro Boomin,Ric Flair Drip (with Metro Boomin),Without Warning,album,0.88,0.428,9.0,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800.0,1131962910.0
15984,Metro Boomin,Raindrops (Insane) [with Travis Scott],HEROES & VILLAINS,album,0.796,0.539,7.0,-5.974,0.0433,0.103,0.0,0.343,0.123,111.988,188587.0,55173171.0
15985,Metro Boomin,Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,album,0.571,0.549,1.0,-7.38,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,46615880.0
15986,Metro Boomin,Runnin,SAVAGE MODE II,album,0.819,0.626,10.0,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,195906.0,347344603.0
15987,Metro Boomin,Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES (Deluxe),album,0.901,0.464,5.0,-9.789,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267.0,645300314.0
